update_date,franchise,title,experience,season,update_title,date_source_type,source_page_title,source_url,source_file,retrieved_at
2025-06-02,Call of Duty,Black Ops 6,,Season 04,June 2,anchor,Call of Duty: Black Ops 6 Season 04 Patch Notes,https://www.callofduty.com/patchnotes/2025/05/call-of-duty-black-ops-6-season-04-patch-notes,call-of-duty-black-ops-6-season-04-patch-notes-566d659dae.html,2026-09-18T00:27:39.516524+00:00
2025-06-02,Call of Duty,,Warzone,Season 04,MONDAY JUNE 2,heading,Call of Duty: Warzone Patch Season 04 Patch Notes,https://www.callofduty.com/patchnotes/2025/05/call-of-duty-bo6-warzone-season-04-patch-notes,call-of-duty-bo6-warzone-season-04-patch-notes-0920046ff5.html,2026-09-18T00:27:42.120306+00:00
2025-06-06,Call of Duty,Black Ops 6,,Season 04,June 6,anchor,Call of Duty: Black Ops 6 Season 04 Patch Notes,https://www.callofduty.com/patchnotes/2025/05/call-of-duty-black-ops-6-season-04-patch-notes,call-of-duty-black-ops-6-season-04-patch-notes-566d659dae.html,2026-09-18T00:27:39.516524+00:00
2025-06-06,Call of Duty,,Warzone,Season 04,FRIDAY JUNE 6,heading,Call of Duty: Warzone Patch Season 04 Patch Notes,https://www.callofduty.com/patchnotes/2025/05/call-of-duty-bo6-warzone-season-04-patch-notes,call-of-duty-bo6-warzone-season-04-patch-notes-0920046ff5.html,2026-09-18T00:27:42.120306+00:00
2025-06-12,Call of Duty,Black Ops 6,,Season 04,June 12,anchor,Call of Duty: Black Ops 6 Season 04 Patch Notes,https://www.callofduty.com/patchnotes/2025/05/call-of-duty-black-ops-6-season-04-patch-notes,call-of-duty-black-ops-6-season-04-patch-notes-566d659dae.html,2026-09-18T00:27:39.516524+00:00
2025-06-18,Call of Duty,Black Ops 6,,Season 04,June 18,anchor,Call of Duty: Black Ops 6 Season 04 Patch Notes,https://www.callofduty.com/patchnotes/2025/05/call-of-duty-black-ops-6-season-04-patch-notes,call-of-duty-black-ops-6-season-04-patch-notes-566d659dae.html,2026-09-18T00:27:39.516524+00:00
2025-07-01,Call of Duty,Black Ops 6,,Season 04,"July 01, 2025",dateline,Call of Duty: Black Ops 6 Season 04 Patch Notes,https://www.callofduty.com/patchnotes/2025/05/call-of-duty-black-ops-6-season-04-patch-notes,call-of-duty-black-ops-6-season-04-patch-notes-566d659dae.html,2026-09-18T00:27:39.516524+00:00
2025-07-01,Call of Duty,,Warzone,Season 04 Reloaded,TUESDAY JULY 1,heading;dateline,Call of Duty: Warzone Patch Season 04 Reloaded Patch Notes,https://www.callofduty.com/patchnotes/2025/07/call-of-duty-bo6-warzone-season-04-reloaded-patch-notes,call-of-duty-bo6-warzone-season-04-reloaded-patch-notes-ba4899fd43.html,2026-09-18T00:27:43.313491+00:00
2025-07-08,Call of Duty,Black Ops 6,,Season 04,July 8,anchor,Call of Duty: Black Ops 6 Season 04 Patch Notes,https://www.callofduty.com/patchnotes/2025/05/call-of-duty-black-ops-6-season-04-patch-notes,call-of-duty-black-ops-6-season-04-patch-notes-566d659dae.html,2026-09-18T00:27:39.516524+00:00
2025-07-08,Call of Duty,,Warzone,Season 04 Reloaded,TUESDAY JULY 8,heading,Call of Duty: Warzone Patch Season 04 Reloaded Patch Notes,https://www.callofduty.com/patchnotes/2025/07/call-of-duty-bo6-warzone-season-04-reloaded-patch-notes,call-of-duty-bo6-warzone-season-04-reloaded-patch-notes-ba4899fd43.html,2026-09-18T00:27:43.313491+00:00
